dYLUT,dYAdj
0,0
1,3
2,7
3,10
4,13
5,16
6,20
7,23
8,26
9,29
10,32
11,35
12,38
13,41
14,44
15,46
16,49
17,52
18,55
19,57
20,60
21,62
22,65
23,68
24,70
25,73
26,75
27,77
28,80
29,82
30,84
31,87
32,89
33,91
34,94
35,96
36,98
37,100
38,102
39,104
40,106
41,108
42,110
43,112
44,114
45,116
46,118
47,120
48,122
49,124
50,126
51,128
52,130
53,131
54,133
55,135
56,137
57,139
58,140
59,142
60,144
61,145
62,147
63,149
64,150
65,152
66,153
67,155
68,157
69,158
70,160
71,161
72,163
73,164
74,166
75,167
76,168
77,170
78,171
79,173
80,174
81,175
82,177
83,178
84,180
85,181
86,182
87,184
88,185
89,186
90,187
91,189
92,190
93,191
94,192
95,194
96,195
97,196
98,197
99,198
100,200
101,201
102,202
103,203
104,204
105,205
106,206
107,207
108,209
109,210
110,211
111,212
112,213
113,214
114,215
115,216
116,217
117,218
118,219
119,220
120,221
121,222
122,223
123,224
124,225
125,226
126,227
127,228
128,229
129,230
130,231
131,232
132,232
133,233
134,234
135,235
136,236
137,237
138,238
139,239
140,239
141,240
142,241
143,242
144,243
145,244
146,244
147,245
148,246
149,247
150,248
151,249
152,249
153,250
154,251
155,252
156,252
157,253
158,254
159,255
160,255
161,256
162,257
163,258
164,258
165,259
166,260
167,261
168,261
169,262
170,263
171,263
172,264
173,265
174,265
175,266
176,267
177,267
178,268
179,269
180,269
181,270
182,271
183,271
184,272
185,273
186,273
187,274
188,275
189,275
190,276
191,276
192,277
193,278
194,278
195,279
196,279
197,280
198,281
199,281
200,282
201,282
202,283
203,284
204,284
205,285
206,285
207,286
208,286
209,287
210,287
211,288
212,289
213,289
214,290
215,290
216,291
217,291
218,292
219,292
220,293
221,293
222,294
223,294
224,295
225,295
226,296
227,296
228,297
229,297
230,298
231,298
232,299
233,299
234,300
235,300
236,301
237,301
238,302
239,302
240,303
241,303
242,303
243,304
244,304
245,305
246,305
247,306
248,306
249,307
250,307
251,308
252,308
253,308
254,309
255,309
